position_rank,player_name,position,total_points,last_3_weeks_avg,week_11,week_12,week_13
48,Tanner Hudson,TE,20.0,3.0,2.0,0.0,7.0
13,Jaylen Waddle,WR,101.0,3.0,5.0,NULL,4.0
14,Michael Pittman,WR,101.0,3.0,NULL,8.0,1.0
18,Rome Odunze,WR,97.0,3.0,4.0,5.0,0.0
48,Tez Johnson,WR,55.0,3.0,0.0,9.0,0.0
77,Ryan Flournoy,WR,35.0,3.0,6.0,NULL,3.0
94,Isaac TeSlaa,WR,26.0,3.0,NULL,NULL,9.0
111,Tim Patrick,WR,20.0,3.0,8.0,NULL,1.0
36,J.J. McCarthy,QB,73.0,2.67,8.0,0.0,NULL
42,Rhamondre Stevenson,RB,62.0,2.67,NULL,0.0,8.0
53,Brian Robinson,RB,42.0,2.67,2.0,4.0,2.0
22,Pat Freiermuth,TE,49.0,2.67,1.0,7.0,NULL
24,Quentin Johnston,WR,90.0,2.67,NULL,NULL,8.0
31,Keenan Allen,WR,80.0,2.67,5.0,NULL,3.0
87,KaVontae Turpin,WR,30.0,2.67,0.0,3.0,5.0
127,Xavier Smith,WR,14.0,2.67,0.0,NULL,8.0
27,Michael Penix,QB,132.0,2.33,7.0,NULL,NULL
50,Malik Willis,QB,7.0,2.33,7.0,0.0,NULL
59,Tyjae Spears,RB,33.0,2.33,3.0,2.0,2.0
11,Juwan Johnson,TE,68.0,2.33,NULL,4.0,3.0
31,Mason Taylor,TE,36.0,2.33,3.0,2.0,2.0
63,Xavier Hutchinson,WR,43.0,2.33,4.0,0.0,3.0
68,Malik Washington,WR,39.0,2.33,4.0,NULL,3.0
134,Chris Godwin,WR,11.0,2.33,NULL,0.0,7.0
73,Re'Mahn Davis,RB,16.0,2.0,NULL,NULL,6.0
8,Dallas Goedert,TE,77.0,2.0,2.0,2.0,2.0
18,Oronde Gadsden,TE,59.0,2.0,4.0,NULL,2.0
74,Andrew Ogletree,TE,6.0,2.0,NULL,6.0,0.0
75,Brevyn Spann-Ford,TE,6.0,2.0,0.0,6.0,NULL
78,Josh Whyle,TE,6.0,2.0,6.0,0.0,NULL
32,Marvin Harrison,WR,80.0,2.0,NULL,NULL,6.0
51,Keon Coleman,WR,53.0,2.0,NULL,NULL,6.0
